course_id;codigo;turma;descricao;horario;professor
"2";"CCN5172";"06317";"Contabilidade Pública II";"4.2020-2 / CSE-CSE206
6.2020-2 / CSE-CSE206";"Orion Augusto Platt Neto"
"2";"CCN5180";"06317";"Contabilidade e Finanças";"2.2020-2 / CSE-CSE207
3.2020-2 / CSE-CSE207";"Alessandra Rodrigues Machado de Araujo"
"2";"CCN5181";"07317";"Simulação Gerencial I";"3.2020-2 / CSE-CSE116";"Pedro Jose Von Mecheln"
"2";"CCN5182";"08317";"Simulação Gerencial II";"5.2020-2 / CSE-CSE209";"Pedro Jose Von Mecheln"
"2";"CCN5183";"07317";"Contabilidade Atuarial";"3.1830-2 / CSE-CSE209";"Roque Brinckmann"
"2";"CCN5184";"07317";"Contabilidade Avançada";"2.1830-2 / CSE-CSE209
4.1830-2 / CSE-CSE209";"José Alonso Borba"
"2";"CCN5185";"07317";"Sistemas de Informação Contábil";"5.1830-4 / CSE-CSE116";"Alessandra Rodrigues Machado de Araujo"
"2";"CCN5186";"07317";"Teoria da Contabilidade";"2.2020-2 / CSE-CSE209
4.2020-2 / CSE-CSE209";"Maíra Melo de Souza"
"2";"CCN5232";"09317";"Tópicos Especiais de Contabilidade II";"2.2020-2 / CSE-CSE201";"Denize Demarche Minatti Ferreira"
"2";"CCN5241";"08317";"Tópicos Especiais de Contabilidade Gerencial I";"5.1830-2 / CSE-CSE210";"Darci Schnorrenberger"
"2";"CCN5301";"08317";"Atividades Complementares";"";"Orion Augusto Platt Neto"
"2";"CCN5303";"05317";"Análise das Demonstrações Contábeis";"3.1830-2 / CSE-CSE206
4.1830-2 / CSE-CSE206";"Orion Augusto Platt Neto"
"2";"CCN5318";"07317";"Auditoria Contábil I";"6.1830-4 / CSE-CSE209";"Luiza Santangelo Reis"
"2";"CCN5320";"08317";"Auditoria Contábil II";"4.1830-4 / CSE-CSE210";"Cleyton de Oliveira Ritta"
"2";"CCN5321";"05317";"Contabilidade Tributária I";"2.2020-2 / CSE-CSE206
5.1830-2 / CSE-CSE206";"Denise Isabel Rizzi"
"2";"CCN5322";"06317";"Contabilidade Tributária II";"5.2020-2 / CSE-CSE207
6.1830-2 / CSE-CSE207";"Viviane Theiss"
"2";"CCN5323";"08317";"Planejamento Tributário";"3.2020-2 / CSE-CSE210
6.2020-2 / CSE-CSE210";"Denise Isabel Rizzi"
"2";"CCN5325";"08317";"Controladoria";"3.1830-2 / CSE-CSE210
6.1830-2 / CSE-CSE210";"Professor Não Informado"
"2";"CCN5404";"09317";"Trabalho de Conclusão do Curso - TCC";"";"Fernando Richartz"
"2";"CCN5405";"09317";"Trabalho de Conclusão de Curso - TCC/Artigo";"";"Fernando Richartz"
"2";"CCN6000";"01317";"Contabilidade Introdutória I";"2.1830-2 / CSE-CSE201
4.1830-2 / CSE-CSE201";"Denize Demarche Minatti Ferreira"
